date,naphtha_price,ethylene_price,margin_per_ton
2023-01-02,650.0,1050.0,33.33333333333337
2023-01-03,650.3500155548386,1062.2370368231711,45.10368275005305
2023-01-04,662.8895032718905,1069.8911781853028,36.03850715611554
2023-01-05,659.6253956287584,1061.9794851272163,32.478957622205144
2023-01-06,665.429195373965,1067.081549250223,29.84262208493635
2023-01-09,673.0725208135627,1058.0158651163747,10.585837364957683
2023-01-10,689.4031018172652,1072.7473937628324,3.5432580064788226
2023-01-11,696.3209394372955,1078.197545069312,-0.23037418041542423
2023-01-12,691.6122956826536,1078.2165831409775,6.066855564106049
2023-01-13,700.0974052576177,1084.5171975504522,1.053990540295331
2023-01-16,697.8164639026176,1088.8061538685527,8.384201998395952
2023-01-17,687.6825453627388,1065.7263051282325,-1.18375535541918
2023-01-18,691.5115901431312,1063.5924932154658,-8.422960308709207
2023-01-19,670.1043503232505,1036.943037612689,-6.529429484978323
2023-01-20,664.9303849075975,1022.1802692294011,-14.393577314062213
2023-01-23,649.1240540363468,1008.3530913665124,-7.145647348616649
2023-01-24,658.3068304856235,1015.3562875260717,-12.386153121426332
2023-01-25,650.4988133311012,1011.8233039291878,-5.508447178947222
2023-01-26,657.840520833889,1016.5297641000683,-10.59093034511693
2023-01-27,663.389947637539,1030.9277926647205,-3.5921375186647992
2023-01-30,661.0683848271334,1022.1120007278058,-9.31251237503875
2023-01-31,664.5559560487465,1027.8547900610542,-8.219818003940986
2023-02-01,675.882595390443,1027.7434792843678,-23.433314569556273
2023-02-02,668.5321617345662,1014.3606756512623,-27.015539994825986
2023-02-03,650.0551528566474,999.1627939580529,-17.577409850810227
2023-02-06,655.4578424908526,998.498807696823,-25.444982290980533
2023-02-07,669.6961972857076,1018.9222983200739,-24.005964727536252
2023-02-08,676.0784851635258,1028.6818361971793,-22.756144020855004
2023-02-09,685.9432657746498,1026.7643624775915,-37.826658555275
2023-02-10,692.1474007789934,1038.108808650243,-34.754392388414885
2023-02-13,672.376988535464,1023.8889858052294,-22.61366557538929
2023-02-14,669.4588986349124,1028.3935074730637,-14.218357373486242
2023-02-15,664.5982182928553,1024.1849892258922,-11.945968497914919
2023-02-16,668.0128641767689,1020.2802996625569,-20.40351923980154
2023-02-17,674.0957900107016,1025.453621913907,-23.34076476702853
2023-02-20,679.0371362365222,1026.0097753030495,-29.373073012313398
2023-02-21,690.3071103918696,1041.9528945931606,-28.456585929332164
2023-02-22,687.8918976942882,1045.7672229458917,-21.421973979825907
2023-02-23,701.0880829452449,1073.8671807511828,-10.916929842477089
2023-02-24,683.1058782176187,1065.5662326577187,4.758395034227078
2023-02-27,687.7149240975704,1069.2609625564883,2.3077304263944143
2023-02-28,676.3632603446121,1070.1011647847104,18.28348432522762
2023-03-01,662.6097320163117,1062.1994194121198,28.719776723704285
2023-03-02,676.0447680790382,1060.9853040549126,9.592279949528233
2023-03-03,672.5138933067361,1046.2679715895752,-0.41721948607300874
2023-03-06,674.8306718168606,1061.9214735249957,12.147244435848279
2023-03-07,696.0405805331735,1066.3728514557572,-11.68125592180752
2023-03-08,689.1901123029643,1066.669088882701,-2.25106085458458
2023-03-09,705.8656383112201,1086.1664402606823,-4.987744154277834
2023-03-10,696.9060926999131,1080.8391106131253,1.6309870132412243
2023-03-13,696.1652871261,1078.5283444841941,0.30796164939408754
2023-03-14,687.5632730566984,1074.2408196523224,7.489788910057882
2023-03-15,690.4498437734653,1076.2931103806677,5.693318682713993
2023-03-16,687.5577602416678,1062.2531394884807,-4.490540833743012
2023-03-17,681.8463256896405,1067.9312904554463,8.802856202592352
